rep,Range,predatorx,predatory,xMAP,yMAP,PosteriorEntropy,KLD,KLD0,KLDI,PR25,PR50,PR100,QP01,QP05,QP25,QP50,Qψ01,Qψ05,Qψ25,Qψ50,Qψ75,Qψ95,Qψ99,MP,NR25,NR50,NR100,QN01,QN05,QN25,QN50,QΘ01,QΘ05,QΘ25,QΘ50,QΘ75,QΘ95,QΘ99,MN,Nreceptors,n_likelihood_particles,n_posterior_particles,priorDensity
1.0,447.065359347647,-171.34438414631148,412.9267944202241,-23.0,323.0,17.973143545251425,-9.73059627927273,-10.296888392889478,-6.969433382494902,5.771600563604933e-12,8.037761938610196e-8,0.0008118137104969786,126.0,150.0,186.0,212.0,-161.0,-109.0,-44.0,-18.0,8.0,77.0,163.0,1.5088108540256642e-10,0.0029296875,0.013671875,0.052734375,42.30781306295492,97.40758025602938,143.69088180589887,176.53501962238045,-177.4601464244207,-164.98833587013357,-74.29880045506778,9.828661514067287,107.13922738671074,160.30452414241103,170.9918274324762,0.0,32.0,1024.0,1024.0,4.0
1.0,446.7760858421673,-171.14716195548317,412.69543229242464,-36.0,317.0,17.864129738505678,-9.85552239658673,-10.706791972234102,-6.876687846512752,2.237135505493871e-12,6.15654543143573e-8,0.0010235971904914171,124.0,147.0,183.0,210.0,-155.0,-98.0,-38.0,-14.0,9.0,65.0,156.0,1.0959265993003126e-9,0.0029296875,0.01171875,0.0576171875,39.59720097747763,92.68737224442103,142.702491472776,177.2556781565698,-177.4234708319034,-168.8681196286392,-73.78734613150294,10.788719272504585,107.05065629674642,158.64381890526985,170.4578166420949,0.0,32.0,1024.0,1024.0,4.0
1.0,446.45535566372206,-170.96682782526005,412.422996914804,-47.0,317.0,17.86666618187313,-9.8373366596787,-10.367647697641752,-6.832624607254562,2.277247443632008e-12,7.339354467827205e-8,0.0009535211968041201,124.0,148.0,184.0,211.0,-156.0,-96.0,-35.0,-11.0,13.0,69.0,157.0,8.868250291397933e-10,0.0029296875,0.0107421875,0.060546875,46.10268286468181,93.4291896878093,142.64841664477194,176.61412851669888,-177.79295362502108,-168.28917038330272,-73.33433606415821,10.220547919548638,106.55316715248614,160.14358350267253,171.41790629658354,0.0,32.0,1024.0,1024.0,4.0
1.0,446.1389900002761,-170.79960497505837,412.1498433080261,-43.0,320.0,17.88910419175758,-9.81852654630507,-10.39047972240849,-6.843996134790924,1.0540936537857406e-12,3.65032387693436e-8,0.0006738504647645673,127.0,151.0,187.0,213.0,-158.0,-100.0,-37.0,-13.0,12.0,72.0,160.0,3.0999993661384285e-10,0.00390625,0.0107421875,0.0576171875,49.016784059174114,96.25411939286633,142.1940028127462,176.8437777777724,-177.70966351758463,-165.15017830346468,-73.2539487735162,10.049647118872839,107.2021648220792,159.5546024153648,171.7926846466159,0.0,32.0,1024.0,1024.0,4.0
1.0,445.8305568670738,-170.60010711011844,411.89863909755917,-35.0,318.0,17.93413951172015,-9.742309712646831,-10.297877135742542,-6.902587928249201,5.992609199416715e-12,1.1947676278881594e-7,0.0011634571606581874,123.0,146.0,183.0,209.0,-158.0,-100.0,-38.0,-14.0,12.0,70.0,159.0,4.2519229398475625e-10,0.0029296875,0.01171875,0.0546875,45.12457595444428,97.04657633764191,142.47243841517383,178.28584389686569,-178.69369513007393,-171.41450470804128,-73.33678870916391,9.837973514189079,107.51702900270135,160.15180231134667,172.20505203518394,0.0,32.0,1024.0,1024.0,4.0
1.0,445.5591086249555,-170.40519798757464,411.6855447759617,-36.0,312.0,17.83064151862388,-9.85572393674852,-10.757419682887003,-6.767569711908781,2.5261612358228793e-11,3.337510738173747e-7,0.0018171303750325238,119.0,142.0,179.0,206.0,-150.0,-88.0,-35.0,-13.0,11.0,60.0,149.0,1.070368473568449e-9,0.0029296875,0.0107421875,0.0537109375,48.59509238765594,98.5711652236169,141.63544963842594,176.19542414605513,-178.4328985400845,-166.78790282308276,-72.27220533464072,10.233585279418946,106.66762380484865,160.694465941296,172.70706383938662,0.0,32.0,1024.0,1024.0,4.0
1.0,445.325932122821,-170.22667365392883,411.5070660362689,-12.0,91.0,17.89253703476181,-9.794525770103444,-10.569259471395414,-7.105687987642355,1.8506668349331793e-11,3.49490995149972e-7,0.0015554163478178375,121.0,144.0,181.0,208.0,-151.0,-87.0,-33.0,-10.0,16.0,72.0,153.0,4.524922146732023e-10,0.0029296875,0.0126953125,0.05078125,42.951243397214995,98.56984124917454,141.0472294193711,174.12133261261403,-178.32826019601345,-173.46539598589325,-72.32985074715361,10.27579043355107,107.76171083003115,160.37739064065408,172.810630794735,0.0,32.0,1024.0,1024.0,4.0
1.0,445.13868705258733,-170.06328480703843,411.3720091006939,-49.0,315.0,17.851701434370177,-9.810541313172099,-10.595525969351046,-6.813190212523182,2.3458811627689742e-12,1.2337724911583912e-7,0.0012455906701798242,122.0,146.0,182.0,209.0,-149.0,-84.0,-31.0,-9.0,17.0,73.0,153.0,7.490546475435918e-10,0.0029296875,0.01171875,0.0537109375,44.4519939917964,97.8656176717385,139.8476198095297,173.75451838227366,-178.10806398810243,-169.82513477004136,-71.10527505661277,10.710332303024533,106.7324711231031,159.60837635492567,173.26880523974512,0.0,32.0,1024.0,1024.0,4.0
1.0,444.96733619322504,-169.8796205997274,411.2625010668822,-49.0,316.0,17.843100197506757,-9.805922529831822,-10.607520644057084,-6.855051128561936,3.236512233653338e-12,9.322367179154497e-8,0.001158287704965863,123.0,146.0,183.0,209.0,-149.0,-81.0,-30.0,-8.0,17.0,80.0,154.0,9.100830218465117e-10,0.0029296875,0.0107421875,0.052734375,42.58698717681975,97.27732698091475,139.42660298565693,173.55694666369328,-178.53030484416203,-167.03602732171365,-70.95100912856304,10.140520819150396,107.27663261769904,160.11734536151903,172.7031470930213,0.0,32.0,1024.0,1024.0,4.0
1.0,444.7945118499234,-169.70668554416946,411.1469307357456,-42.0,310.0,17.866722861615653,-9.633439750120166,-10.656259740356212,-6.790630933010682,2.54017040064975e-11,3.6435613399963055e-7,0.0022309860783136662,117.0,140.0,178.0,205.0,-151.0,-79.0,-30.0,-9.0,15.0,85.0,158.0,3.357519213554352e-9,0.001953125,0.01171875,0.05078125,42.725198446384326,99.31149837191066,140.64581836104009,173.15298619835244,-178.26205608736024,-166.9984037197362,-71.90057356783007,9.136481679366183,106.57905116547258,159.77320978500947,172.7521748163384,0.0,32.0,1024.0,1024.0,4.0
1.0,444.64781358750525,-169.54294686385924,411.05579584390665,-34.0,311.0,17.830771514612522,-9.640200090799748,-10.501515791298047,-6.81543136821864,4.131019340875443e-12,1.7866616822902915e-7,0.001992028793665487,117.0,141.0,178.0,205.0,-152.0,-83.0,-32.0,-12.0,11.0,76.0,157.0,2.3149734624296044e-9,0.001953125,0.009765625,0.0478515625,47.55089954396561,100.2707324277213,141.46910540376263,174.01019884387227,-177.5938943309015,-166.5127360766084,-72.98558031641689,8.689005376585044,104.50069238516268,160.14347521134172,172.87965044083847,0.0,32.0,1024.0,1024.0,4.0
1.0,444.5381534512886,-169.39097044987741,410.99984063735377,-34.0,305.0,17.913797914960263,-9.440381580723816,-10.487549706598953,-6.870476834670441,3.5108709258995723e-11,6.563264322938351e-7,0.003555212823452251,112.0,135.0,173.0,201.0,-148.0,-83.0,-33.0,-12.0,12.0,81.0,155.0,7.49842238537284e-9,0.0029296875,0.0166015625,0.0576171875,40.05873835164786,95.21083394453248,140.2075690649059,173.44082916012383,-177.3588088422441,-166.62956697795354,-72.57607003014962,8.007650046074565,103.8312705137809,159.44790646008985,172.36640212980598,0.0,32.0,1024.0,1024.0,4.0
1.0,444.4228236957235,-169.29380910525649,410.91514016924845,-34.0,298.0,17.820769973312533,-9.622708957577318,-10.701576164006408,-6.7872466407018806,4.512106001736836e-11,1.2594465370393162e-6,0.005992151203163368,106.0,129.0,166.0,195.0,-134.0,-73.0,-31.0,-11.0,12.0,65.0,144.0,1.788512083396798e-8,0.0009765625,0.0205078125,0.0673828125,39.007330730206036,91.23488254070867,140.58532817546632,172.72682412327094,-177.67250371162513,-163.0587318162893,-72.61796986975354,8.26782063611333,104.17641288609988,159.0619337419038,172.37033507881154,0.0,32.0,1024.0,1024.0,4.0
1.0,444.24580002014125,-169.16565694157313,410.7764737020139,-39.0,298.0,17.772256837221967,-9.710142262068258,-10.813131805023858,-6.718473355388827,8.008488835424493e-12,5.830312795983219e-7,0.004805225158164571,108.0,131.0,168.0,196.0,-136.0,-73.0,-31.0,-11.0,11.0,61.0,142.0,2.256105174339589e-8,0.0009765625,0.01953125,0.068359375,39.559144561834756,91.7736001079154,140.37138728258498,174.4366547865659,-177.4883895882758,-169.4571545854018,-73.26261722612,7.8111374045873845,103.53527659686692,159.9822944757021,172.37309831416113,0.0,32.0,1024.0,1024.0,4.0
1.0,444.032256112001,-169.0488173400512,410.59364562039156,-36.0,303.0,17.886131760269848,-9.515651208780682,-10.50395967011928,-6.859914943009585,2.4401713914710375e-11,2.981855504335592e-7,0.003273051273400867,112.0,135.0,172.0,200.0,-149.0,-87.0,-33.0,-12.0,11.0,69.0,151.0,5.877634303545458e-9,0.001953125,0.0205078125,0.0732421875,38.431477194288306,92.91076542814122,141.42409837950055,172.63372753573356,-177.01998411186074,-169.40247417773537,-73.38671374921546,7.233999715501136,101.07729972300099,159.86840234885187,173.31079730250175,0.0,32.0,1024.0,1024.0,4.0
1.0,443.8178029672826,-168.93019634341425,410.41056394064856,-35.0,304.0,17.973077991707825,-9.441092528294757,-10.43451385498733,-6.96802285760706,1.6291907199984756e-10,7.304732604755856e-7,0.003384232129767108,112.0,135.0,172.0,200.0,-153.0,-96.0,-35.0,-13.0,11.0,71.0,153.0,3.6278779949262783e-9,0.0029296875,0.01953125,0.064453125,38.560486286112535,91.15686784852272,141.20834815535005,172.8257717436241,-177.3493558552001,-170.47856993837058,-73.53700054849286,7.083389523232422,100.53922722996701,161.1296306657565,176.52052948750276,0.0,32.0,1024.0,1024.0,4.0
1.0,443.6071058654408,-168.82086970910277,410.22771520824205,-28.0,301.0,17.823335044686523,-9.558532199883699,-10.578880178173643,-6.767182241556764,5.803630988351632e-12,3.0265456080700037e-7,0.003623759312118705,111.0,133.0,170.0,198.0,-148.0,-87.0,-34.0,-14.0,8.0,60.0,146.0,6.674152142519894e-9,0.0029296875,0.01953125,0.0625,37.327764402580414,90.14276164763484,144.8226987668166,175.8944470616696,-177.22844300098126,-173.0866606105533,-72.69709572554514,7.125566583970374,100.07470124572438,161.65232856838256,176.12214246879162,0.0,32.0,1024.0,1024.0,4.0
1.0,443.38496315020814,-168.7460501530025,410.0182875256564,-24.0,305.0,17.83662135012045,-9.532726912033846,-10.528923940235432,-6.8015815744262635,1.3773895841518954e-12,1.2468170082177189e-7,0.0025703753595699872,114.0,136.0,173.0,201.0,-148.0,-88.0,-36.0,-15.0,7.0,63.0,149.0,2.0673745334359633e-9,0.0029296875,0.0185546875,0.0625,38.67869243647331,94.18769131895391,142.54608632791718,175.8519825297941,-177.39544301430462,-169.8080354408073,-73.1213003185708,6.38706277880868,97.96482779184397,165.01582085071314,176.75978105558355,0.0,32.0,1024.0,1024.0,4.0
1.0,443.126542287624,-168.6448254723657,409.7804965114625,-25.0,311.0,17.85438131852193,-9.54762463170155,-10.486260987792926,-6.827617646792017,7.686452454430794e-13,4.288245736232107e-8,0.0014826687977484339,119.0,141.0,178.0,205.0,-151.0,-90.0,-36.0,-14.0,8.0,72.0,154.0,6.308728075930943e-10,0.0029296875,0.01953125,0.0615234375,39.404933442423356,94.69882523863703,143.68196710920017,175.34478126166022,-177.36177672260268,-170.33575306452235,-74.18848283129788,5.916503186264404,96.59852674290487,168.19948277264518,177.12939963353307,0.0,32.0,1024.0,1024.0,4.0
1.0,442.86443922699004,-168.52607702368124,409.545935024198,-37.0,310.0,17.784102460988088,-9.621332552753815,-10.75225522421222,-6.72879416879513,8.316069889248478e-13,3.823221388542053e-8,0.0013947447784410816,119.0,142.0,178.0,205.0,-148.0,-84.0,-33.0,-12.0,10.0,66.0,150.0,1.473254510880799e-9,0.001953125,0.0185546875,0.0556640625,38.190373723822546,96.07142086472098,144.27885998232063,176.73948876344792,-176.48251656335515,-170.18542274010704,-73.40673730006453,7.138693983366694,95.6962352200235,169.39060809224407,177.51624745824185,0.0,32.0,1024.0,1024.0,4.0
1.0,442.6269097093749,-168.40735056700956,409.3379355421037,-30.0,312.0,17.84500754540809,-9.51404265164549,-10.629983056456508,-6.841089821667083,1.3498692682125955e-12,4.117329458324849e-8,0.0012538693315528972,120.0,143.0,179.0,206.0,-153.0,-92.0,-35.0,-14.0,9.0,70.0,153.0,6.524835296494109e-10,0.0029296875,0.0185546875,0.0537109375,37.27984378465382,96.56479263114863,144.94411276938212,176.6144139502818,-177.05896925595286,-170.48569708863008,-73.38758124124789,7.235872648548479,94.48835186436337,169.70319210337792,177.8452318158728,0.0,32.0,1024.0,1024.0,4.0
